Frequency (MHz);Power (dBm)
4,38E+02;-54,959
4,39E+02;-55,2006
4,39E+02;-55,5322
4,40E+02;-55,3634
4,41E+02;-55,1164
4,41E+02;-54,9937
4,42E+02;-55,1561
4,43E+02;-55,0117
4,43E+02;-55,1439
4,44E+02;-55,1241
4,44E+02;-55,3093
4,45E+02;-55,5087
4,46E+02;-55,6593
4,46E+02;-56,0129
4,47E+02;-55,2715
4,47E+02;-55,2872
4,48E+02;-55,5956
4,49E+02;-55,3573
4,49E+02;-55,711
4,50E+02;-55,7151
4,50E+02;-55,8322
4,51E+02;-55,9177
4,52E+02;-55,8331
4,52E+02;-55,9481
4,53E+02;-55,9442
4,53E+02;-55,7776
4,54E+02;-55,9326
4,55E+02;-55,9631
4,55E+02;-56,0685
4,56E+02;-56,2211
4,57E+02;-56,1793
4,57E+02;-56,0014
4,58E+02;-56,1862
4,58E+02;-56,3918
4,59E+02;-56,3876
4,60E+02;-56,4776
4,60E+02;-56,4985
4,61E+02;-56,5446
4,61E+02;-56,5855
4,62E+02;-56,4864
4,63E+02;-56,8366
4,63E+02;-56,7825
4,64E+02;-56,792
4,64E+02;-56,8514
4,65E+02;-56,9334
4,66E+02;-56,9419
4,66E+02;-56,9715
4,67E+02;-56,9835
4,68E+02;-56,614
4,68E+02;-56,6139
4,69E+02;-56,909
4,69E+02;-56,9606
4,70E+02;-57,0045
4,71E+02;-57,2339
4,71E+02;-56,9874
4,72E+02;-57,2572
4,72E+02;-57,3128
4,73E+02;-57,0765
4,74E+02;-57,0906
4,74E+02;-57,0743
4,75E+02;-57,4545
4,75E+02;-57,4091
4,76E+02;-57,5029
4,77E+02;-57,5112
4,77E+02;-57,4906
4,78E+02;-57,5127
4,79E+02;-57,2532
4,79E+02;-57,4069
4,80E+02;-57,5619
4,80E+02;-57,1902
4,81E+02;-57,1788
4,82E+02;-57,1413
4,82E+02;-57,4042
4,83E+02;-57,8113
4,83E+02;-57,7036
4,84E+02;-57,5937
4,85E+02;-57,4727
4,85E+02;-57,5273
4,86E+02;-57,5097
4,86E+02;-57,6741
4,87E+02;-57,6142
4,88E+02;-57,6536
4,88E+02;-57,9293
4,89E+02;-57,7347
4,90E+02;-57,6564
4,90E+02;-57,6498
4,91E+02;-57,7978
4,91E+02;-57,898
4,92E+02;-57,8713
4,93E+02;-57,6638
4,93E+02;-57,6426
4,94E+02;-57,8132
4,94E+02;-57,9702
4,95E+02;-58,095
4,96E+02;-57,6545
4,96E+02;-58,0362
4,97E+02;-58,0933
4,97E+02;-57,6194
4,98E+02;-57,752
4,99E+02;-57,8423
4,99E+02;-57,9683
5,00E+02;-57,7404
5,00E+02;-57,5947
5,01E+02;-57,4047
5,02E+02;-58,0629
5,02E+02;-58,1179
5,03E+02;-58,0657
5,04E+02;-57,7179
5,04E+02;-57,8516
5,05E+02;-58,2233
5,05E+02;-57,8819
5,06E+02;-57,7105
5,07E+02;-58,0054
5,07E+02;-58,0187
5,08E+02;-57,7198
5,08E+02;-57,8985
5,09E+02;-58,2327
5,10E+02;-57,9983
5,10E+02;-58,0536
5,11E+02;-57,9837
5,11E+02;-57,8655
5,12E+02;-58,0441
5,13E+02;-58,2846
5,13E+02;-58,1466
5,14E+02;-58,1252
5,15E+02;-57,8131
5,15E+02;-57,7372
5,16E+02;-57,8739
5,16E+02;-57,8906
5,17E+02;-57,977
5,18E+02;-57,9928
5,18E+02;-57,7963
5,19E+02;-57,744
5,19E+02;-57,6407
5,20E+02;-57,6494
5,21E+02;-57,6539
5,21E+02;-57,7675
5,22E+02;-58,1718
5,22E+02;-57,7368
5,23E+02;-57,8147
5,24E+02;-58,0248
5,24E+02;-57,7259
5,25E+02;-57,798
5,26E+02;-57,8325
5,26E+02;-57,5015
5,27E+02;-57,9096
5,27E+02;-58,0762
5,28E+02;-57,8031
5,29E+02;-57,4736
5,29E+02;-57,2842
5,30E+02;-57,7118
5,30E+02;-58,0707
5,31E+02;-58,1589
5,32E+02;-57,9886
5,32E+02;-57,5079
5,33E+02;-57,5037
5,33E+02;-57,3616
5,34E+02;-57,1432
5,35E+02;-57,3578
5,35E+02;-57,7078
5,36E+02;-57,3428
5,36E+02;-57,2154
5,37E+02;-57,904
5,38E+02;-57,9295
5,38E+02;-57,898
5,39E+02;-57,5403
5,40E+02;-57,4122
5,40E+02;-57,7413
5,41E+02;-57,6727
5,41E+02;-57,8663
5,42E+02;-57,9665
5,43E+02;-57,9401
5,43E+02;-57,977
5,44E+02;-57,7757
5,44E+02;-57,7724
5,45E+02;-58,0438
5,46E+02;-57,879
5,46E+02;-57,6552
5,47E+02;-57,6316
5,47E+02;-57,744
5,48E+02;-57,7231
5,49E+02;-58,1141
5,49E+02;-58,0954
5,50E+02;-57,9373
5,51E+02;-58,2174
5,51E+02;-58,011
5,52E+02;-58,0421
5,52E+02;-57,9397
5,53E+02;-58,2762
5,54E+02;-58,1111
5,54E+02;-58,3294
5,55E+02;-58,3513
5,55E+02;-57,7094
5,56E+02;-58,1418
5,57E+02;-58,3691
5,57E+02;-58,3664
5,58E+02;-58,246
5,58E+02;-58,0107
5,59E+02;-58,1753
5,60E+02;-58,4088
5,60E+02;-58,4872
5,61E+02;-58,5775
5,62E+02;-58,4122
5,62E+02;-58,4428
5,63E+02;-58,197
5,63E+02;-58,2955
5,64E+02;-58,7076
5,65E+02;-58,8167
5,65E+02;-58,816
5,66E+02;-58,7041
5,66E+02;-58,986
5,67E+02;-59,1689
5,68E+02;-59,0501
5,68E+02;-59,1294
5,69E+02;-58,817
5,69E+02;-58,9776
5,70E+02;-58,8243
5,71E+02;-59,1852
5,71E+02;-59,2895
5,72E+02;-59,6133
5,73E+02;-59,5857
5,73E+02;-59,5981
5,74E+02;-59,8451
5,74E+02;-59,4664
5,75E+02;-59,591
5,76E+02;-59,7096
5,76E+02;-59,6268
5,77E+02;-59,7135
5,77E+02;-60,1076
5,78E+02;-60,2571
5,79E+02;-60,2462
5,79E+02;-59,7607
5,80E+02;-59,9414
5,80E+02;-59,9708
5,81E+02;-60,4992
5,82E+02;-60,4153
5,82E+02;-60,3407
5,83E+02;-60,719
5,83E+02;-60,697
5,84E+02;-60,4543
5,85E+02;-60,9305
5,85E+02;-61,182
5,86E+02;-60,9006
5,87E+02;-60,8374
5,87E+02;-60,9693
5,88E+02;-61,1976
5,88E+02;-61,2584
5,89E+02;-61,056
5,90E+02;-61,2683
5,90E+02;-61,3459
5,91E+02;-61,4844
5,91E+02;-61,6692
5,92E+02;-61,7746
5,93E+02;-61,7438
5,93E+02;-61,7723
5,94E+02;-62,0734
5,94E+02;-62,0496
5,95E+02;-62,205
5,96E+02;-62,204
5,96E+02;-61,9939
5,97E+02;-61,931
5,98E+02;-61,885
5,98E+02;-61,9779
5,99E+02;-62,0201
5,99E+02;-62,2677
6,00E+02;-62,3684
6,01E+02;-62,2441
6,01E+02;-62,7102
6,02E+02;-62,7238
6,02E+02;-62,6949
6,03E+02;-62,533
6,04E+02;-62,8054
6,04E+02;-63,1391
6,05E+02;-63,603
6,05E+02;-63,206
6,06E+02;-63,0363
6,07E+02;-63,1358
6,07E+02;-63,0713
6,08E+02;-63,4043
6,09E+02;-63,2485
6,09E+02;-63,6008
6,10E+02;-63,6897
6,10E+02;-63,5722
6,11E+02;-63,3835
6,12E+02;-63,5319
6,12E+02;-63,7378
6,13E+02;-64,0255
6,13E+02;-63,8504
6,14E+02;-63,8213
6,15E+02;-63,7629
6,15E+02;-63,8289
6,16E+02;-64,0236
6,16E+02;-64,2136
6,17E+02;-64,1583
6,18E+02;-64,0987
6,18E+02;-64,4365
6,19E+02;-64,4417
6,20E+02;-64,3419
6,20E+02;-64,1069
6,21E+02;-64,4545
6,21E+02;-64,8201
6,22E+02;-64,5741
6,23E+02;-64,2349
6,23E+02;-64,3963
6,24E+02;-64,6939
6,24E+02;-64,4018
6,25E+02;-64,2205
6,26E+02;-64,8119
6,26E+02;-65,0278
6,27E+02;-65,204
6,27E+02;-65,3033
6,28E+02;-65,1881
6,29E+02;-64,9226
6,29E+02;-64,8533
6,30E+02;-64,632
6,30E+02;-64,681
6,31E+02;-64,9448
6,32E+02;-65,2571
6,32E+02;-65,1986
6,33E+02;-65,0648
6,34E+02;-65,058
6,34E+02;-65,532
6,35E+02;-65,782
6,35E+02;-65,7175
